disasternumber,state,declarationtype,incidenttype,fydeclared,declarationdate,designated_area_count,declaration_delay_days,ongoing_at_declaration,declaration_year,declaration_month,declaration_quarter,declaration_weekday,declaration_season,previous_state_disasters,previous_incident_disasters,previous_state_incident_disasters,days_since_previous_state_disaster,days_since_previous_incident,totalobligated,log_totalobligated
3154,NM,EM,Fire,2000,2000-05-10,33,5,1,2000,5,2,2,Spring,24,334,7,2.0,2.0,4467465.06,15.312331928896766
1328,MO,DR,Flood,2000,2000-05-12,10,6,0,2000,5,2,4,Spring,31,658,16,64.0,74.0,2550967.9499999997,14.751983825352498
1329,NM,DR,Fire,2000,2000-05-13,21,8,1,2000,5,2,5,Spring,25,335,8,3.0,3.0,5665066.52,15.549829371172862
1330,SD,DR,Severe Storm,2000,2000-05-19,5,31,0,2000,5,2,4,Spring,29,253,5,345.0,16.0,1779885.95,14.39206040901539
1331,TN,DR,Severe Storm,2000,2000-06-12,15,20,0,2000,6,2,0,Summer,31,254,9,397.0,24.0,3700015.34,15.123847793820918
1332,WI,DR,Severe Storm,2000,2000-06-24,30,29,1,2000,6,2,5,Summer,30,255,9,313.0,12.0,10950776.08,16.208920977918847
1333,MN,DR,Severe Storm,2000,2000-06-27,18,41,1,2000,6,2,1,Summer,41,256,10,306.0,3.0,12078437.33,16.30693246479603
1334,ND,DR,Severe Storm,2000,2000-06-27,43,83,1,2000,6,2,1,Summer,27,257,4,385.0,0.0,39717568.98,17.49730421651849
1335,NY,DR,Severe Storm,2000,2000-07-21,28,79,1,2000,7,3,4,Summer,50,258,5,306.0,24.0,31024801.39,17.250297519655128
1336,VT,DR,Severe Storm,2000,2000-07-27,6,13,0,2000,7,3,3,Summer,18,259,4,260.0,6.0,2474138.67,14.721403285474427
1337,NJ,DR,Severe Storm,2000,2000-08-17,2,5,1,2000,8,3,3,Summer,22,260,3,334.0,21.0,4745696.7299999995,15.372749024526916
1338,DC,DR,Severe Storm,2000,2000-08-17,1,10,0,2000,8,3,3,Summer,5,261,4,129.0,0.0,297203.25,12.602174891858084
1343,OH,DR,Severe Storm,2000,2000-09-26,1,6,0,2000,9,3,1,Autumn,32,263,8,36.0,36.0,3339556.2899999996,15.021348808263442
1344,FL,DR,Severe Storm,2001,2000-10-03,9,12,1,2000,10,4,1,Autumn,89,264,8,116.0,7.0,19716939.9,16.796988768330515
1345,FL,DR,Severe Storm,2001,2000-10-04,4,1,1,2000,10,4,2,Autumn,90,265,9,1.0,1.0,288463022.37,19.48007746713661
3155,NY,EM,Other,2001,2000-10-11,61,142,1,2000,10,4,2,Autumn,51,13,0,82.0,855.0,4668512.48,15.356351266339027
1347,AZ,DR,Severe Storm,2001,2000-10-27,8,6,1,2000,10,4,4,Autumn,31,267,2,378.0,10.0,5616648.54,15.541245876831725
3156,NJ,EM,Other,2001,2000-11-01,21,155,0,2000,11,4,2,Autumn,23,14,0,76.0,21.0,2440546.55,14.707732977831888
1348,HI,DR,Severe Storm,2001,2000-11-09,2,12,0,2000,11,4,3,Autumn,24,268,1,234.0,13.0,4123263.9299999997,15.232155866233935
1349,OK,DR,Severe Storm,2001,2000-11-27,11,37,0,2000,11,4,0,Autumn,55,269,8,67.0,18.0,2837878.86,14.858567803177463
3157,NY,EM,Snowstorm,2001,2000-12-04,3,15,0,2000,12,4,0,Winter,52,75,10,54.0,293.0,4999310.11,15.424810682906115
1350,MT,DR,Severe Storm,2001,2000-12-06,7,36,0,2000,12,4,2,Winter,32,270,3,98.0,9.0,2127112.23,14.57027632736819
1351,WY,DR,Severe Storm,2001,2000-12-13,4,43,0,2000,12,4,2,Winter,8,271,0,135.0,7.0,690633.71,13.445366323317925
1352,AL,DR,Severe Storm,2001,2000-12-18,11,2,1,2000,12,4,0,Winter,51,272,19,92.0,5.0,1084948.69,13.897044175218042
1353,ND,DR,Tornado,2001,2000-12-29,9,58,0,2000,12,4,4,Winter,28,144,2,185.0,266.0,817522.69,13.614035159926946
1354,AR,DR,Severe Ice Storm,2001,2000-12-29,67,17,1,2000,12,4,4,Winter,39,14,1,1.0,1.0,196514521.44,19.096246892089784
1355,OK,DR,Severe Ice Storm,2001,2001-01-05,65,11,1,2001,1,1,4,Winter,57,15,1,8.0,7.0,163118088.87,18.90998497419379
1356,TX,DR,Severe Ice Storm,2001,2001-01-08,46,27,1,2001,1,1,0,Winter,192,16,0,3.0,3.0,39712658.98,17.497180586006312
3160,MI,EM,Snowstorm,2001,2001-01-10,39,30,0,2001,1,1,2,Winter,27,76,4,85.0,37.0,9209710.88,16.03576912435453
1357,LA,DR,Severe Ice Storm,2001,2001-01-12,8,32,0,2001,1,1,4,Winter,46,17,0,123.0,4.0,4344325.16,15.284381220650259
3161,IL,EM,Snowstorm,2001,2001-01-17,27,37,0,2001,1,1,2,Winter,37,77,2,600.0,7.0,17735051.8,16.691053623349227
1358,VT,DR,Severe Storm,2001,2001-01-18,2,33,0,2001,1,1,3,Winter,19,273,5,175.0,31.0,727798.23,13.497780506176674
3162,IN,EM,Snowstorm,2001,2001-01-24,29,44,0,2001,1,1,2,Winter,26,78,3,740.0,7.0,3663238.24,15.11385835221349
3163,WI,EM,Snowstorm,2001,2001-01-24,14,44,0,2001,1,1,2,Winter,31,79,1,214.0,0.0,5387295.97,15.499554327301198
1360,MS,DR,Severe Storm,2001,2001-02-23,50,7,1,2001,2,1,4,Winter,39,274,13,760.0,36.0,18479965.330000002,16.732197802206457
1361,WA,DR,Earthquake,2001,2001-03-01,24,1,1,2001,3,1,3,Spring,58,18,1,188.0,168.0,66803008.269999996,18.017258686444297
1362,AL,DR,Severe Storm,2001,2001-03-05,6,17,0,2001,3,1,0,Spring,52,275,20,77.0,10.0,4802166.48,15.38457793228967
1363,AR,DR,Severe Storm,2001,2001-03-13,22,27,1,2001,3,1,1,Spring,40,276,5,74.0,8.0,3038143.49,14.926757521902198
3164,ME,EM,Snowstorm,2001,2001-03-20,13,15,1,2001,3,1,1,Spring,28,80,2,326.0,55.0,3404108.7,15.04049399494814
3165,MA,EM,Snowstorm,2001,2001-03-28,7,23,0,2001,3,1,2,Spring,21,81,3,478.0,8.0,21065441.93,16.863144479995935
3166,NH,EM,Snowstorm,2001,2001-03-28,7,23,0,2001,3,1,2,Spring,17,82,1,527.0,0.0,3433251.55,15.049018635128727
3167,VT,EM,Snowstorm,2001,2001-04-10,9,36,0,2001,4,2,1,Spring,20,83,0,82.0,13.0,1301659.6,14.079151391885532
1365,MS,DR,Severe Storm,2001,2001-04-17,6,14,0,2001,4,2,1,Spring,40,278,14,53.0,7.0,2893904.56,14.878117552607234
1366,KS,DR,Severe Storm,2001,2001-04-27,1,6,1,2001,4,2,4,Spring,24,279,6,359.0,10.0,2727709.69,14.818973240268788
1367,IA,DR,Severe Storm,2001,2001-05-02,23,24,1,2001,5,2,2,Spring,33,280,5,650.0,5.0,8617786.12,15.969338895065869
1368,IL,DR,Flood,2001,2001-05-09,10,21,1,2001,5,2,2,Spring,38,659,13,112.0,362.0,6095110.54,15.622997620976165
1369,WI,DR,Flood,2001,2001-05-11,32,31,1,2001,5,2,4,Spring,32,660,13,107.0,2.0,19889475.85,16.805701348322355
1373,NE,DR,Severe Storm,2001,2001-05-16,28,36,0,2001,5,2,2,Spring,26,281,4,635.0,14.0,2982075.51,14.908130431254675
1372,PR,DR,Severe Storm,2001,2001-05-16,15,10,0,2001,5,2,2,Spring,19,282,0,546.0,0.0,5145377.73,15.453609535814191
1371,ME,DR,Severe Storm,2001,2001-05-16,6,72,0,2001,5,2,2,Spring,29,283,7,57.0,0.0,1212296.98,14.00802827347906
1370,MN,DR,Flood,2001,2001-05-16,72,54,1,2001,5,2,2,Spring,43,661,18,208.0,5.0,38202747.71,17.458418026747275
1374,CO,DR,Severe Storm,2001,2001-05-17,14,36,0,2001,5,2,3,Spring,25,284,1,243.0,1.0,4675285.19,15.357800935943533
1375,SD,DR,Flood,2001,2001-05-17,24,77,0,2001,5,2,3,Spring,32,662,12,265.0,1.0,5097309.13,15.444223533066609
1376,ND,DR,Flood,2001,2001-05-28,38,88,1,2001,5,2,0,Spring,29,663,19,150.0,11.0,23457511.89,16.970701380650613
1377,MT,DR,Severe Storm,2001,2001-05-28,2,50,0,2001,5,2,0,Spring,33,285,4,173.0,11.0,740551.5900000001,13.515151929749583
1378,WV,DR,Severe Storm,2001,2001-06-03,24,19,1,2001,6,2,6,Summer,33,286,3,461.0,6.0,27934237.4,17.145363677213957
1379,TX,DR,Coastal Storm,2001,2001-06-09,31,4,1,2001,6,2,5,Summer,193,12,0,152.0,1194.0,433696555.54,19.887855669046154
1380,LA,DR,Coastal Storm,2001,2001-06-11,27,6,1,2001,6,2,0,Summer,47,13,0,150.0,2.0,9079126.72,16.02148867988354
1381,FL,DR,Severe Storm,2001,2001-06-17,9,6,0,2001,6,2,6,Summer,101,287,10,25.0,14.0,14705113.81,16.503705937488206
1382,MS,DR,Severe Storm,2001,2001-06-21,5,15,0,2001,6,2,3,Summer,41,288,15,65.0,4.0,1804293.09,14.405679987382518
1383,PA,DR,Severe Storm,2001,2001-06-21,3,6,1,2001,6,2,3,Summer,36,289,5,638.0,0.0,6723585.86,15.721132329029276
1384,OK,DR,Severe Storm,2001,2001-06-29,48,33,0,2001,6,2,4,Summer,58,290,9,175.0,8.0,6425198.399999999,15.675738223283437
