disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2249,,,,,,,,,,,2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,,,,,,,,,,,2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,,,,,121107.7,119620.9,1486.8,,2026-02-06,,2202,0.0,0.0,0.0,0.0,121107.7,119620.9,1486.8,0.0
2187,,,,,357301.86,357301.86,,,2026-02-06,,2187,0.0,0.0,0.0,0.0,357301.86,357301.86,0.0,0.0
2237,,,,,230928.14,230928.14,,,2026-02-06,,2237,0.0,0.0,0.0,0.0,230928.14,230928.14,0.0,0.0
2188,,,,,28676.64,28676.64,,,2026-02-06,,2188,0.0,0.0,0.0,0.0,28676.64,28676.64,0.0,0.0
1300,,,,,34309695.49,16704381.41,17070710.07,3599288.0,2026-02-06,,1300,0.0,0.0,0.0,0.0,34309695.49,16704381.41,17070710.07,3599288.0
2263,,,,,,,,,,,2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,,,,,,,,,,,2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,,,,,,,,,,,2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,,,,,,,,,,,2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,,,,,,,,,,,2271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,,,,,,,,,,,2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559,,,,,2348737.81,12556.72,2344966.96,154535.0,2026-02-06,,1559,0.0,0.0,0.0,0.0,2348737.81,12556.72,2344966.96,154535.0
2276,,,,,,,,,,,2276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,,,,,,,,,,,2277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,,,,,,,,,,,2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,,,,,,,,,,,2279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,,,,,,,,,,,2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,,,,,,,,,,,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,,,,,,,,,,,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,,,,,,,,,,,2284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,,,,,,,,,,,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1408,,,,,7698001.21,386876.08,7231737.88,1252681.0,2026-02-06,,1408,0.0,0.0,0.0,0.0,7698001.21,386876.08,7231737.88,1252681.0
2289,,,,,,,,,,,2289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,,,,,,,,,,,2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2291,,,,,,,,,,,2291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,,,,,9963311.57,556544.92,9255175.35,91326.0,2026-02-06,,1586,0.0,0.0,0.0,0.0,9963311.57,556544.92,9255175.35,91326.0
1584,,,,,2459682.68,309943.27,2011425.97,435749.0,2026-02-06,,1584,0.0,0.0,0.0,0.0,2459682.68,309943.27,2011425.97,435749.0
4135,,,,,4551830.57,505303.32,3784495.01,568704.0,2026-02-06,,4135,0.0,0.0,0.0,0.0,4551830.57,505303.32,3784495.01,568704.0
2311,,,,,,,,,,,2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
